"No.","Time","Source","Destination","Protocol","Length","Info"
"3140","46.234898","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3141","46.234898","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3142","46.235071","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3143","46.235144","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3144","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3145","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3146","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3147","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3148","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3149","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3150","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3151","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3152","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3153","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3154","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3155","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3156","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3157","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3158","46.236302","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3159","46.236402","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3160","46.236402","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3161","46.236442","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3162","46.236537","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3163","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3164","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3165","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3166","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3167","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3168","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3169","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3170","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3171","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3172","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3173","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3174","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3175","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3176","46.237793","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3177","46.238074","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3178","46.238368","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3179","46.238602","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3180","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3181","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3182","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3183","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3184","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3185","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3186","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3187","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3188","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3189","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3190","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3191","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3192","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3193","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3194","46.239034","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3195","46.239161","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3196","46.239161","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3197","46.239207","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3198","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3199","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3200","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3201","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3202","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3203","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3204","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3205","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3206","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3207","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3208","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3209","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3210","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3211","46.240311","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3212","46.240419","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3213","46.240500","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3214","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3215","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3216","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3217","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3218","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3219","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3220","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3221","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3222","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3223","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3224","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3225","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3226","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3227","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3228","46.242609","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3229","46.242754","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3230","46.242763","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3231","46.242763","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3232","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3233","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3234","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3235","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3236","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3237","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3238","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3239","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3240","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3241","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3242","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3243","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3244","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3245","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3246","46.244004","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3247","46.244089","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3248","46.244165","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3249","46.244328","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3250","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3251","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3252","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3253","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3254","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3255","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3256","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3257","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3258","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3259","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3260","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3261","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3262","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3263","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3264","46.245439","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3265","46.245524","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3266","46.245524","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3267","46.245624","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3268","46.245784","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"3269","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3270","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3271","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3272","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"3273","46.246719","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
