"No.","Time","Source","Destination","Protocol","Length","Info"
"2876","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2877","46.214106","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2878","46.214189","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2879","46.214189","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2880","46.214268","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2881","46.214376","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2882","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2883","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2884","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2885","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2886","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2887","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2888","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2889","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2890","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2891","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2892","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2893","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2894","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2895","46.215375","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2896","46.215459","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2897","46.215579","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2898","46.216840","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2899","46.216840","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2900","46.216840","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2901","46.216840","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
